,Andorra,United Arab Emirates,Afghanistan,Albania,Armenia,Angola,Argentina,Austria,Azerbaijan,Bosnia and Herzegovina,Bangladesh,Belgium,Burkina Faso,Bulgaria,Burundi,Benin,Brunei,Bolivia,Brazil,Bhutan,Botswana,Belarus,Belize,Canada,Democratic Republic of the Congo,Central African Republic,Republic of the Congo,Switzerland,Ivory Coast,Chile,Cameroon,China,Colombia,Costa Rica,Cuba,Czechia,Germany,Djibouti,Denmark,Dominican Republic,Algeria,Ecuador,Estonia,Egypt,Western Sahara,Eritrea,Spain,Ethiopia,Finland,France,Gabon,United Kingdom,Georgia,French Guiana,Ghana,Gibraltar,Gambia,Guinea,Equatorial Guinea,Greece,Guatemala,Guinea-Bissau,Guyana,Honduras,Croatia,Haiti,Hungary,Indonesia,Ireland,Israel,India,Iraq,Iran,Italy,Jordan,Kenya,Kyrgyzstan,Cambodia,North Korea,South Korea,Kosovo,Kuwait,Kazakhstan,Laos,Lebanon,Liechtenstein,Liberia,Lesotho,Lithuania,Luxembourg,Latvia,Libya,Morocco,Monaco,Moldova,Montenegro,Saint Martin,North Macedonia,Mali,Myanmar,Mongolia,Mauritania,Malawi,Mexico,Malaysia,Mozambique,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Oman,Panama,Peru,Papua New Guinea,Pakistan,Poland,Palestinian Territory,Portugal,Paraguay,Qatar,Romania,Serbia,Russia,Rwanda,Saudi Arabia,Sudan,South Sudan,Sweden,Slovenia,Slovakia,Sierra Leone,San Marino,Senegal,Somalia,Suriname,El Salvador,Sint Maarten,Syria,Eswatini,Chad,Togo,Thailand,Tajikistan,Timor Leste,Turkmenistan,Tunisia,Turkey,Tanzania,Ukraine,Uganda,United States,Uruguay,Uzbekistan,Vatican,Venezuela,Vietnam,Yemen,South Africa,Zambia,Zimbabwe,Serbia and Montenegro
Andorra,-1,578,968,253,594,726,-1,440,797,275,1168,475,670,297,725,798,1280,-1,-1,1309,784,586,-1,-1,767,757,766,340,802,-1,732,1754,-1,-1,-1,433,711,754,556,-1,216,-1,493,597,721,777,494,865,505,708,675,-1,708,-1,682,460,610,789,621,278,-1,629,-1,-1,302,-1,371,1480,-1,532,1134,551,719,453,463,857,964,1460,1874,1594,268,546,1042,1592,442,271,698,762,549,433,453,369,595,249,441,291,-1,273,858,1486,1522,793,785,-1,1325,913,820,803,750,-1,375,407,1251,622,-1,-1,1505,1027,605,526,497,-1,546,398,309,742,712,571,840,853,364,369,342,673,300,715,892,-1,-1,-1,455,820,722,671,1386,927,1341,795,243,438,801,594,801,-1,-1,911,301,-1,1593,579,803,871,815,306
United Arab Emirates,578,-1,453,739,492,723,-1,605,453,651,608,644,859,871,512,836,757,-1,-1,589,624,651,-1,-1,756,738,756,603,829,-1,731,1194,-1,-1,-1,636,662,264,605,-1,840,-1,752,591,956,317,704,397,761,655,690,-1,526,-1,773,644,832,920,674,814,-1,829,-1,-1,693,-1,670,970,-1,681,463,689,425,537,993,488,459,786,1130,987,607,417,659,839,527,584,801,600,687,624,724,821,850,527,562,630,-1,719,951,720,877,1037,533,-1,699,672,731,933,750,-1,645,861,518,435,-1,-1,1072,520,695,690,678,-1,150,676,759,746,491,775,496,544,684,611,598,818,484,941,380,-1,-1,-1,673,615,726,751,710,414,854,385,734,880,493,589,508,-1,-1,464,478,-1,878,777,623,655,591,761
Afghanistan,968,453,-1,1086,1132,843,-1,914,912,887,791,1084,935,1347,656,932,1147,-1,-1,1049,726,1273,-1,-1,885,883,885,1050,906,-1,854,4184,-1,-1,-1,1178,1197,457,972,-1,838,-1,1413,717,962,528,1049,599,1419,1118,805,-1,757,-1,864,942,879,974,787,1354,-1,879,-1,-1,922,-1,1092,1521,-1,791,501,1145,1623,823,1032,650,519,1473,2497,1712,844,693,926,1892,772,848,869,692,1348,1062,1395,854,973,885,907,875,-1,1051,1007,1558,1725,1057,654,-1,1208,772,838,1011,857,-1,1073,1672,856,397,-1,-1,1586,370,1423,793,971,-1,496,954,1066,1685,637,809,702,725,1149,944,1129,879,701,977,545,-1,-1,-1,1008,712,854,845,1299,450,1268,1040,751,1627,634,1193,671,-1,-1,753,706,-1,1942,840,722,779,706,1069
Albania,253,739,1086,-1,694,621,-1,270,840,152,1120,318,477,163,560,527,1120,-1,-1,1071,666,382,-1,-1,634,584,633,292,506,-1,528,1539,-1,-1,-1,264,333,500,336,-1,219,-1,408,324,424,488,329,576,425,320,516,-1,692,-1,492,322,468,535,478,500,-1,474,-1,-1,293,-1,344,1326,-1,433,1065,780,935,153,442,627,742,1252,1676,1428,185,715,807,1353,401,261,492,655,307,281,352,184,353,175,319,132,-1,153,521,1243,1314,533,628,-1,1137,756,708,503,471,-1,333,432,1009,818,-1,-1,1378,1177,303,339,353,-1,683,309,391,515,544,775,517,601,334,225,262,488,134,516,630,-1,-1,-1,564,689,467,479,1177,827,1195,826,138,556,611,436,590,-1,-1,816,123,-1,1362,777,679,704,665,389
Armenia,594,492,1132,694,-1,788,-1,480,452,548,1160,661,778,894,632,799,1143,-1,-1,1088,743,646,-1,-1,822,790,822,611,771,-1,744,1984,-1,-1,-1,646,682,452,580,-1,600,-1,849,411,777,467,674,583,868,687,707,-1,170,-1,735,619,734,830,674,905,-1,737,-1,-1,598,-1,547,1409,-1,417,1081,381,782,447,398,665,628,1336,2237,1721,491,412,801,1512,354,483,738,717,718,633,792,580,650,512,368,530,-1,647,850,1345,1645,891,677,-1,1173,825,834,845,718,-1,657,1067,994,565,-1,-1,1469,1315,746,308,649,-1,444,528,678,902,611,578,592,687,705,502,587,743,381,824,603,-1,-1,-1,519,749,707,716,1231,697,1233,612,499,994,651,526,653,-1,-1,696,383,-1,1531,730,749,797,730,682
Angola,726,723,843,621,788,-1,-1,632,827,585,828,740,571,724,941,516,813,-1,-1,831,1104,709,-1,-1,548,787,551,689,447,-1,708,1175,-1,-1,-1,652,755,1001,715,-1,1031,-1,763,1178,816,973,817,1149,771,809,551,-1,806,-1,363,668,587,601,492,661,-1,560,-1,-1,605,-1,626,923,-1,1013,801,815,793,624,852,913,766,866,1256,1154,575,704,866,931,879,620,450,903,712,723,735,1154,865,649,637,570,-1,632,668,873,1100,729,1155,-1,761,1393,1575,690,692,-1,682,762,794,761,-1,-1,969,874,680,1017,718,-1,701,670,664,833,1005,740,1146,1268,687,607,574,501,584,711,939,-1,-1,-1,880,902,775,425,829,777,819,775,1012,823,1250,677,1185,-1,-1,796,561,-1,966,535,1225,1790,1084,664
Argentina,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1851,2336,-1,-1,-1,822,903,-1,-1,-1,-1,-1,1134,-1,-1,2319,1405,687,-1,-1,-1,-1,-1,-1,1447,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2211,-1,-1,-1,-1,-1,-1,916,-1,2291,1031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,921,-1,-1,-1,-1,-1,1190,-1,-1,-1,-1,1770,1563,-1,-1,-1,-1,-1,1036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2243,893,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,928,208,-1,-1,2536,-1,-1,-1,-1,-1,-1
Austria,440,605,914,270,480,632,-1,-1,695,169,1152,458,615,272,585,686,1279,-1,-1,1315,677,350,-1,-1,646,607,646,685,717,-1,616,1869,-1,-1,-1,252,524,529,435,-1,334,-1,340,340,692,523,604,603,360,518,593,-1,585,-1,622,556,613,732,553,320,-1,625,-1,-1,133,-1,214,1501,-1,403,1114,572,636,765,407,647,895,1492,2025,1659,240,568,973,1653,374,527,663,665,316,383,275,286,622,284,314,226,-1,265,757,1529,1580,740,645,-1,1343,761,712,677,631,-1,469,338,1248,656,-1,-1,1526,982,278,339,575,-1,568,428,245,557,571,621,558,627,248,278,55,651,281,691,646,-1,-1,-1,465,698,571,610,1408,858,1348,711,227,401,631,528,614,-1,-1,834,382,-1,1651,660,689,714,678,240
Azerbaijan,797,453,912,840,452,827,-1,695,-1,653,1050,916,840,1109,659,857,1260,-1,-1,1302,761,1095,-1,-1,867,844,867,862,825,-1,796,2764,-1,-1,-1,983,1021,465,800,-1,674,-1,1374,509,842,494,894,607,1396,954,752,-1,447,-1,787,795,784,886,721,1131,-1,787,-1,-1,699,-1,858,1570,-1,540,938,461,536,623,519,685,691,1561,3149,2156,598,410,1024,1867,487,658,787,732,1208,885,1306,671,832,698,613,638,-1,792,913,1647,2268,956,693,-1,1325,839,861,917,775,-1,908,1728,1178,507,-1,-1,1615,1094,1278,402,829,-1,420,665,815,1930,637,589,643,723,1018,728,909,792,514,881,609,-1,-1,-1,711,763,770,767,1431,546,1347,393,574,1445,669,935,681,-1,-1,546,519,-1,1891,746,765,820,747,819
Bosnia and Herzegovina,275,651,887,152,548,585,-1,169,653,-1,972,262,441,210,534,490,1129,-1,-1,1082,635,332,-1,-1,593,546,593,230,523,-1,497,1526,-1,-1,-1,188,258,477,276,-1,216,-1,357,317,482,464,371,542,373,337,489,-1,541,-1,461,365,473,545,454,263,-1,481,-1,-1,289,-1,204,1332,-1,398,904,633,736,176,404,591,744,1264,1658,1413,130,614,797,1365,368,195,503,627,260,226,302,185,405,176,296,172,-1,161,535,1257,1298,537,599,-1,1153,715,668,462,444,-1,275,372,1022,714,-1,-1,1379,958,237,325,393,-1,605,310,196,475,520,668,486,563,286,195,162,497,119,520,593,-1,-1,-1,482,656,441,450,1190,700,1204,679,130,425,580,391,558,-1,-1,686,132,-1,1370,694,647,663,631,186
Bangladesh,1168,608,791,1120,1160,828,-1,1152,1050,972,-1,1287,965,1283,659,949,840,-1,-1,209,675,1519,-1,-1,869,885,869,1266,935,-1,870,1512,-1,-1,-1,1406,1415,516,1183,-1,916,-1,1597,836,1118,605,1237,635,1597,1319,824,-1,1161,-1,893,1121,923,999,817,1286,-1,922,-1,-1,1161,-1,1343,1310,-1,908,1421,1146,1322,1045,1076,641,856,682,1244,949,942,849,1148,712,901,1062,905,637,1573,1271,1597,934,1149,1096,1195,964,-1,1096,1028,742,1018,1078,619,-1,861,692,786,1027,889,-1,1275,1794,334,540,-1,-1,1436,1006,1640,911,1146,-1,654,1237,1105,1849,646,883,761,736,1352,1180,1371,917,909,1009,540,-1,-1,-1,1067,649,889,878,768,873,1047,854,848,1407,617,1472,674,-1,-1,690,914,-1,540,819,665,729,659,1107
Belgium,475,644,1084,318,661,740,-1,458,916,262,1287,-1,716,340,718,819,1375,-1,-1,1474,784,555,-1,-1,775,759,774,244,827,-1,750,1995,-1,-1,-1,359,651,699,383,-1,391,-1,400,535,755,715,658,801,413,263,701,-1,808,-1,719,603,651,812,654,348,-1,669,-1,-1,256,-1,377,1589,-1,471,1284,629,817,586,475,818,1044,1624,2133,1745,313,618,1135,1808,448,186,733,763,489,187,364,424,692,412,458,294,-1,326,876,1690,1703,811,773,-1,1464,894,822,828,773,-1,174,271,1411,689,-1,-1,1589,1150,581,465,571,-1,612,443,343,753,704,661,775,813,256,306,323,709,326,743,829,-1,-1,-1,537,813,733,709,1543,1022,1433,885,325,503,777,613,775,-1,-1,992,390,-1,1798,684,800,855,804,341
